nome-do-campus,nome-do-curso,forma-de-oferta,candidatos-inscritos-no-processo-seletivo,vagas-ofertadas
Arcos,Tecnico em Mecanica ,Tecnico Integrado ao Ensino Medio,83,40
Bambui,Tecnico em Administracao ,Tecnico Integrado ao Ensino Medio,51,40
Bambui,Tecnico em Agropecuaria ,Tecnico Integrado ao Ensino Medio,174,90
Bambui,Tecnico em Agropecuaria ,Tecnico Subsequente ao Ensino Medio,23,30
Bambui,Tecnico em Biotecnologia ,Tecnico Integrado ao Ensino Medio,41,35
Bambui,Tecnico em Eletromecanica ,Tecnico Integrado ao Ensino Medio,22,32
Bambui,Tecnico em Informatica ,Tecnico Integrado ao Ensino Medio,54,35
Bambui,Tecnico em Manutencao Automotiva ,Tecnico Subsequente ao Ensino Medio,10,18
Bambui,Tecnico em Meio Ambiente ,Tecnico Integrado ao Ensino Medio,13,30
Betim,Tecnico em Automacao Industrial ,Tecnico Integrado ao Ensino Medio,719,60
Betim,Tecnico em Mecanica ,Tecnico Integrado ao Ensino Medio,414,60
Betim,Tecnico em Quimica ,Tecnico Integrado ao Ensino Medio,780,60
Congonhas,Tecnico em Edificacoes ,Tecnico Integrado ao Ensino Medio,231,35
Congonhas,Tecnico em Edificacoes  ,Tecnico Subsequente ao Ensino Medio,21,35
Congonhas,Tecnico em Mecanica ,Tecnico Integrado ao Ensino Medio,123,30
Congonhas,Tecnico em Mecanica ,Tecnico Subsequente ao Ensino Medio,10,35
Congonhas,Tecnico em Mineracao ,Tecnico Integrado ao Ensino Medio,208,35
Congonhas,Tecnico em Mineracao  ,Tecnico Subsequente ao Ensino Medio,41,35
Conselheiro Lafaiete,Tecnico em Eletrotecnica ,Tecnico Integrado ao Ensino Medio,247,40
Conselheiro Lafaiete,Tecnico em Eletrotecnica ,Tecnico Subsequente ao Ensino Medio,55,40
Conselheiro Lafaiete,Tecnico em Mecanica ,Tecnico Integrado ao Ensino Medio,119,40
Conselheiro Lafaiete,Tecnico em Mecanica ,Tecnico Subsequente ao Ensino Medio,36,40
Formiga,Tecnico em Administracao ,Tecnico Integrado ao Ensino Medio,68,40
Formiga,Tecnico em Eletrotecnica ,Tecnico Integrado ao Ensino Medio,13,35
Formiga,Tecnico em Informatica ,Tecnico Integrado ao Ensino Medio,82,30
Governador Valadares,Tecnico em Edificacoes ,Tecnico Integrado ao Ensino Medio,176,40
Governador Valadares,Tecnico em Meio Ambiente ,Tecnico Integrado ao Ensino Medio,233,40
Governador Valadares,Tecnico em Seguranca do Trabalho ,Tecnico Integrado ao Ensino Medio,282,40
Governador Valadares,Tecnico em Seguranca do Trabalho ,Tecnico Subsequente ao Ensino Medio,49,40
Ibirite,Tecnico em Automacao Industrial ,Tecnico Integrado ao Ensino Medio,374,80
Ibirite,Tecnico em Mecatronica ,Tecnico Integrado ao Ensino Medio,247,40
Ibirite,Tecnico em Sistemas de Energia Renovavel ,Tecnico Integrado ao Ensino Medio,230,40
