identificador,aberto-em,area,grupo-de-servico,servico,campus,status,solucionado-em
1,10/06/2019,Administrativo,Outros,GRU Token SERPRO NeoID,REITORIA,Cancelado,
2,11/06/2019,Administrativo,Outros,GRU Token SERPRO NeoID,REITORIA,Cancelado,
3,13/06/2019,Administrativo,Transporte / Frota,Pernoite de Veículos Oficiais na Reitoria,REITORIA,Fechado,13/06/2019
4,24/06/2019,Tecnologia da Informação,RT-INFRAESTRUTURA E REDES,RT - Suporte Avançado,CAMPUS OURO BRANCO,Cancelado,
5,25/06/2019,Administrativo,Portas e janelas,04 Fechadura,REITORIA,Cancelado,
6,26/06/2019,Administrativo,Cobertura,Reparo em calhas,REITORIA,Fechado,05/07/2019
7,26/06/2019,Administrativo,Hidráulica e Hidrossanitários,09 Limpeza de caixa d'água,REITORIA,Fechado,01/07/2019
8,26/06/2019,Administrativo,Hidráulica e Hidrossanitários,99 Outros serviços de hidráulica,REITORIA,Fechado,05/07/2019
9,26/06/2019,Tecnologia da Informação,RT-SUAP,"RT - Módulo Administrativo - Frotas: Erros, Dúvidas, Permissões, outros",REITORIA,Fechado,26/06/2019
10,27/06/2019,Administrativo,Outros,GRU Token SERPRO NeoID,REITORIA,Cancelado,
11,27/06/2019,Tecnologia da Informação,RT-DESKTOPS E NOTEBOOKS,RT - Criação ou mudança de ponto de redes,CAMPUS OURO BRANCO,Cancelado,
12,27/06/2019,Tecnologia da Informação,RT-DESKTOPS E NOTEBOOKS,RT - Sem acesso à Internet,CAMPUS OURO BRANCO,Cancelado,
13,27/06/2019,Tecnologia da Informação,RT-DESKTOPS E NOTEBOOKS,"RT - Internet lenta, travando ou página não carrega",CAMPUS OURO BRANCO,Cancelado,
15,01/07/2019,Tecnologia da Informação,RT-SUAP,"RT - Módulo Gestão de Pessoas - Erros, Dúvidas, Permissões, outros",REITORIA,Cancelado,
16,02/07/2019,Tecnologia da Informação,RT-DESKTOPS E NOTEBOOKS,RT - Sem acesso à Internet,REITORIA,Cancelado,
17,03/07/2019,Administrativo,Elétrica,99 Outros serviços elétricos,REITORIA,Fechado,08/07/2019
18,03/07/2019,Administrativo,Elétrica,06 Mudança de rede ou telefonia,REITORIA,Fechado,08/07/2019
19,04/07/2019,Administrativo,Hidráulica e Hidrossanitários,05 Reparo em vaso sanitário,REITORIA,Cancelado,
20,05/07/2019,Administrativo,Hidráulica e Hidrossanitários,05 Reparo em vaso sanitário,REITORIA,Cancelado,
21,08/07/2019,Administrativo,Cobertura,Limpeza de calhas,CAMPUS CONGONHAS,Cancelado,
22,09/07/2019,Administrativo,Cobertura,Limpeza de calhas,CAMPUS OURO PRETO,Cancelado,
