numero-do-processo,local,tipo-manifestacao,conduta,juizo,data-do-juizo,decisao,processo-administrativo-disciplinar,fase-do-processo,penalidade
23208.003020/2018-09,Formiga,Denúncia,Suposto assédio sexual de um docente.,1,2018-05-30,Abertura de PAD ,23208.003020/2018-09,Concluído,Suspensão
23208.003286/2018-05,Congonhas,Denúncia,Inobservância de Norma Regulamentar,2,2018-06-13,Abertura de PAD ,23208.003286/2018-05,Concluído,Suspensão
23208.003302/2018-58,Piumhi,Denúncia,Má conduta de servidor,3,2018-06-13,Comissão de Ética,,,
23714.000705/2018-63,Sabará,Denúncia,Má conduta de servidor,4,2018-06-13,Comissão de Ética,,,
23208.003348/2018-77,Ouro Preto,Denúncia,Inobservância de Norma Regulamentar,5,2018-06-21,Abertura de PAD ,23208.003348/2018-77,Concluído,Demissão
23208.003681/2018-10,São João Evangelista,Denúncia,Má conduta de servidor,6,2018-12-07,Comissão de Ética,,,
23208.003774/2018-21,Ouro Preto,Denúncia,Falta de urbanidade de um docente.,7,2018-11-07,Comissão de Ética,,,
23714.000836/2018-18,Sabará,Denúncia,Suposto assédio sexual de um servidor,8,2018-03-09,Abertura de PAD ,23714.000836/2018-18,Concluído,Advertência
23208.004843/2018-91,Ribeirão das Neves,Denúncia,Falta de urbanidade de um servidor,9,2018-09-13,Arquivamento.,,,
23208.004839/2018-23,Sabará,Denúncia,Suposto assédio sexual de um servidor,10,2018-09-14,Abertura de PAD ,23714.000836/2018-18,Concluído,Advertência
23716.001037/2018-21,Santa Luzia,Denúncia,Falta de urbanidade de um servidor,11,2018-09-20,Abertura de PAD ,23716.001037/2018-21,Concluído,Arquivamento
23208.005362/2018-01,Ouro Preto,Denúncia,Má conduta de servidor,13,2018-04-10,Arquivamento.,,,
23208.004844/2018-36,Arcos,Denúncia,Falta de urbanidade de um servidor,14,2018-09-10,Arquivamento.,,,
23208.005018/2018-12,Ouro Preto,Representação,Violação do regime de dedicação exclusiva por docente,15,2018-10-31,Abertura de PAD ,23208.005018/2018-12,Concluído,Arquivamento
23208.006029/2018-10,Ouro Preto,Ofício CGU,Inobservância de Norma Regulamentar,18,2018-11-13,Arquivamento.,,,
23208.006029/2018-10,Ouro Preto,Ofício CGU,Inobservância de Norma Regulamentar,19,2018-11-13,Abertura de PAD ,23208.006029/2018-10,,
23208.006029/2018-10,Ouro Preto,Ofício CGU,Inobservância de Norma Regulamentar,20,2018-11-13,Abertura de PAD ,23208.006029/2018-10,,
23208.005459/2018-14,Bambuí,Denúncia,Suposto assédio sexual de um servidor.,21,2018-11-20,Arquivamento.,,,
23208.005190/2018-68,Ouro Branco,Denúncia,Má conduta de servidor,22,2018-11-28,Arquivamento.,,,
23208.006479/2018-02,Bambuí,Representação,Má conduta de servidor,23,2018-12-05,Comissão de Ética,,,
23208.006029/2018-10,Ouro Preto,Representação,Inobservância de Norma Regulamentar,24,2018-10-12,Abertura de PAD ,23208.006029/2018-10,,
23208.003630/2018-29,Santa Luzia,Denúncia,Má conduta de servidor,25,2019-01-29,Abertura de PAD ,23208.003630/2018-29,Concluído,Suspensão
23210.001674/2018-99,Congonhas,Denúncia,Suposto assédio sexual de um servidor.,28,2019-01-30,Abertura de PAD ,23210.001674/2018-99,Concluído,Advertência
23208.006729/2018-04,Bambuí,Representação,Supostos crimes contra a fé pública praticados na gestão do Pronatec.,29,2019-01-02,Abertura de PAD ,23208.006729/2018-04,Concluído,Suspensão
23208.006516/2018-74,Ponte Nova,Denúncia,Suposta irregularidade na montagem dos horários das aulas no campus.,30,2019-03-14,Arquivamento.,,,
23208.005273/2018-57,Congonhas,Representação,Suposto assédio sexual de um servidor.,33,2019-04-25,Arquivamento.,,,
23208.006517/2018-19,Ponte Nova,Denúncia,Suposto desrespeito ao edital de remoção/redistribuição.,35,2019-03-15,Arquivamento.,,,
23208.006016/2018-32,Bambuí,Denúncia,Injúria e difamação.,41,2019-04-29,Abertura de PAD ,23208.006016/2018-32,Concluído,Arquivamento
