numero-do-processo,local,tipo-manifestacao,conduta,juizo,data-do-juizo,decisao,processo-administrativo-disciplinar,fase-do-processo,penalidade
23208.002279/2020-97,Reitoria,Representação,"Apuração de eventual infração
disciplinar  quanto ao dever de
prestar contas. ",73,2020-12-03 00:00:00,Abertura de Processo Administrativo Disciplinar – PAD ,,,
23208.001011/2020-38,Betim,Representação,Suposto assédio,74,18/03/2020,Abertura de Processo de Sindicância contra Arian Souza Guedes,,,
23208.001374/2020-73,Ouro Preto,Denúncia,Suposto descumprimento de exigência DGP,75,29/05/2020,Arquivamento,,,
23208.000962/2020-90,Ouro Preto,Denúncia,Suposto descumprimento da Resolução nº. 01 de 10/01/2020.,76,22/07/2020,Arquivamento,,,
23208.002386/2020-15,Arcos,Representação,Suposto descumprimento das normas regulamentares.,77,17/09/2020,Arquivamento,,,
23208.002399/2020-94,Arcos,Denúncia,Conduta do servidor em Rede Social,78,17/09/2020,Arquivamento,,,
23208.001417/2020-11,Ouro Preto,Denúncia,"Autorização de pagamento dos servidores Sérgio Luiz Affonso, Ricardo Eugênio Ferreira e Luciano Alves Corrêa, que, supostamente, sistematicamente faltariam ao trabalho.",79,2020-09-10 00:00:00,"Arquivamento e lavratura  de TAC  com os servidores Sérgio Luiz e Ricardo Eugênio. Abertura de Processo Administrativo Disciplinar   - PAD contra Luciano Alves Corrêa, Claudio Vita e Ronaldo Silva Trindade",,,
23208.002799/2020-08,Ponte Nova,Representação,suposta recusa injustificada em participar da Comissão Própria de Avaliação Local do IFMG Campus avançado Ponte Nova.,80,2020-09-10 00:00:00,"Abertura de Processo Administrativo Disciplinar – PAD, em face do servidor Marcos Vinicius Toledo",,,
23208.002801/2020-31,Ouro Preto,Representação,Suposta demora  na análise do processo de aposentadora,81,28/10/2020,Arquivamento,,,
23208.002993/2020-85,Ouro Preto,Denúncia,Suposto assédio e importunação sexual às alunas.,82,2020-08-12 00:00:00,"Abertura de Processo Administrativo Disciplinar – PAD, em face do servidor Luciano José Gonçalves Moreira",,,
23208.002994/2020-20,Reitoria,Representação,Suposto abandono de cargo ou inassiduidade habitual,83,20/11/2020,"Abertura de Processo Administrativo Disciplinar – PAD, em face do servidor Bruno Aguiar de Castro,",,,
23208.003582/2020-15,Ribeirão das Neves,Representação,"Críticas à gestão do campus, considerada ofensiva",84,2021-01-06 00:00:00,Representação encaminhada à Comissão de Ética do IFMG,,,
23208.000523/2021-68,Reitoria,Denúncia,Furto de bens móveis supostamente cometido por empregado,85,19/02/2021,Arquivamento,,,
23208.003606/2020-28,Arcos,Representação,Suposto Assédio moral,86,2021-05-03 00:00:00,Representação encaminhada à Comissão de Ética do IFMG,,,
23208.003729/2020-69,Ouro Branco,Representação,Suposto descumprimento das normas regulamentares.,87,2021-03-18 00:00:00,Abertura de Processo Administrativo Disciplinar – PAD ,,,
23208.002652/2020-18,Ouro Preto,Denúncia,Suposto descumprimento das normas regulamentares.,88,2021-05-05 00:00:00,Arquivamento e lavratura de TCA.,,,
23208.003857/2020-11,Ouro Preto,Representação,"Suposta ameaça, injúria e difamação por parte do Diretor do Campus Ouro Preto",89,2021-05-31 00:00:00,Arquivamento,,,
