campus,nome-do-curso,modalidade-do-curso,disciplina,carga-horaria
ARCOS,Engenharia Mecanica,Bacharelado,A Engenharia Mecanica na Industria 4.0,60
ARCOS,Engenharia Mecanica,Bacharelado,Calculo I,75
ARCOS,Engenharia Mecanica,Bacharelado,Calculo III,90
ARCOS,Engenharia Mecanica,Bacharelado,Calculo Numerico,60
ARCOS,Engenharia Mecanica,Bacharelado,Ciencia dos Materiais,30
ARCOS,Engenharia Mecanica,Bacharelado,"Ciencia, Superior de Superior de Tecnologia e Sociedade",30
ARCOS,Engenharia Mecanica,Bacharelado,Computacao Aplicada,45
ARCOS,Engenharia Mecanica,Bacharelado,Computacao Aplicada,45
ARCOS,Engenharia Mecanica,Bacharelado,Desenho Tecnico,45
ARCOS,Engenharia Mecanica,Bacharelado,Desenho Tecnico,45
ARCOS,Engenharia Mecanica,Bacharelado,Elementos de Maquinas I,60
ARCOS,Engenharia Mecanica,Bacharelado,Eletrotecnica Industrial,60
ARCOS,Engenharia Mecanica,Bacharelado,"Energias Renovaveis: Fundamentos, Superior de Superior de Tecnologias e Aplicacoes",60
ARCOS,Engenharia Mecanica,Bacharelado,Ensaios Nao Destrutivos,60
ARCOS,Engenharia Mecanica,Bacharelado,Estatica,60
ARCOS,Engenharia Mecanica,Bacharelado,Fisica II,90
ARCOS,Engenharia Mecanica,Bacharelado,Fundamentos de Circuitos Eletricos,60
ARCOS,Engenharia Mecanica,Bacharelado,Geometria Analitica,45
ARCOS,Engenharia Mecanica,Bacharelado,Manutencao e Confiabilidade,60
ARCOS,Engenharia Mecanica,Bacharelado,Maquinas de Fluxo,60
ARCOS,Engenharia Mecanica,Bacharelado,Materiais Nao Metalicos,30
ARCOS,Engenharia Mecanica,Bacharelado,Mecanica dos Fluidos I,45
ARCOS,Engenharia Mecanica,Bacharelado,Power B.I.,30
ARCOS,Engenharia Mecanica,Bacharelado,Processos de Fabricacao I,60
ARCOS,Engenharia Mecanica,Bacharelado,Processos de Fabricacao III,60
ARCOS,Engenharia Mecanica,Bacharelado,Quimica Geral,60
ARCOS,Engenharia Mecanica,Bacharelado,Resistencia dos Materiais II,60
ARCOS,Engenharia Mecanica,Bacharelado,Sistemas Termicos II,45
ARCOS,Engenharia Mecanica,Bacharelado,Termodinamica II,45
ARCOS,Engenharia Mecanica,Bacharelado,Trabalho Academico Integrador Extensionista I,45
ARCOS,Engenharia Mecanica,Bacharelado,Trabalho Academico Integrador Extensionista III,45
ARCOS,Engenharia Mecanica,Bacharelado,Trabalho Academico Integrador Extensionista IX,45
ARCOS,Engenharia Mecanica,Bacharelado,Trabalho Academico Integrador Extensionista V,45
ARCOS,Engenharia Mecanica,Bacharelado,Trabalho Academico Integrador Extensionista VII,45
ARCOS,Engenharia Mecanica,Bacharelado,Transferencia de Calor II,45
ARCOS,Engenharia Mecanica,Bacharelado,Vibracoes Mecanicas,60
BAMBUI,Administracao,Bacharelado,Administracao da Producao e Servicos II,50
BAMBUI,Administracao,Bacharelado,Administracao de Recursos Humanos I,50
BAMBUI,Administracao,Bacharelado,Administracao Estrategica,50
BAMBUI,Administracao,Bacharelado,Administracao Financeira e Orcamentaria II,50
BAMBUI,Administracao,Bacharelado,Consultoria,50
BAMBUI,Administracao,Bacharelado,Contabilidade Basica,50
BAMBUI,Administracao,Bacharelado,Contabilidade Gerencial,50
BAMBUI,Administracao,Bacharelado,Elaboracao de Projetos de TCC,50
BAMBUI,Administracao,Bacharelado,Empresa Simulada,50
BAMBUI,Administracao,Bacharelado,Estatistica,50
BAMBUI,Administracao,Bacharelado,Filosofia,50
BAMBUI,Administracao,Bacharelado,Gestao Ambiental,50
BAMBUI,Administracao,Bacharelado,Gestao da Cadeia de Suprimentos,50
BAMBUI,Administracao,Bacharelado,Gestao da Qualidade,50
BAMBUI,Administracao,Bacharelado,Introducao a Economia,50
BAMBUI,Administracao,Bacharelado,Introducao a Logica de Programacao e Algoritmos,50
BAMBUI,Administracao,Bacharelado,Legislacao Social e Trabalhista,50
BAMBUI,Administracao,Bacharelado,Linguagem e Producao de Textos,50
BAMBUI,Administracao,Bacharelado,Matematica Financeira,50
BAMBUI,Administracao,Bacharelado,Mercado de Capitais,50
BAMBUI,Administracao,Bacharelado,"Organizacao, Sistemas e Metodos",50
BAMBUI,Administracao,Bacharelado,Pesquisa de Mercado,50
BAMBUI,Administracao,Bacharelado,Psicologia Organizacional,50
BAMBUI,Administracao,Bacharelado,Sistemas de Informacao,50
BAMBUI,Administracao,Bacharelado,Sociologia das Organizacoes,50
BAMBUI,Administracao,Bacharelado,Teoria Geral da Administracao I,50
BAMBUI,Administracao,Bacharelado,Trabalho Interdisciplinar I (TID) - Resumo Expandido,50
BAMBUI,Administracao,Bacharelado,Trabalho Interdisciplinar III (TID) - Relat. e Mostra de Producao,50
BAMBUI,Agronomia,Bacharelado,Administracao Rural,50
BAMBUI,Agronomia,Bacharelado,Agricultura de Precisao,50
BAMBUI,Agronomia,Bacharelado,Agricultura Geral,50
BAMBUI,Agronomia,Bacharelado,Agrometeorologia,50
BAMBUI,Agronomia,Bacharelado,Atividade Fisica e Qualidade de Vida,50
BAMBUI,Agronomia,Bacharelado,"Cana de Acucar, Milho e Sorgo",50
BAMBUI,Agronomia,Bacharelado,Controle de Plantas Infestantes,50
BAMBUI,Agronomia,Bacharelado,Controle de Plantas Infestantes,50
BAMBUI,Agronomia,Bacharelado,Cultura do Cafe,50
BAMBUI,Agronomia,Bacharelado,Desenho Tecnico I,50
BAMBUI,Agronomia,Bacharelado,Desenho Tecnico I,50
BAMBUI,Agronomia,Bacharelado,Ecologia Geral,50
BAMBUI,Agronomia,Bacharelado,Elaboracao de Projetos Agropecuarios,50
BAMBUI,Agronomia,Bacharelado,Entomologia Aplicada,50
BAMBUI,Agronomia,Bacharelado,Entomologia Aplicada,50
BAMBUI,Agronomia,Bacharelado,Estatistica,50
BAMBUI,Agronomia,Bacharelado,Feijao e Soja,50
BAMBUI,Agronomia,Bacharelado,Fitopatologia Aplicada,50
BAMBUI,Agronomia,Bacharelado,Floricultura e Paisagismo,50
BAMBUI,Agronomia,Bacharelado,Forragicultura,50
BAMBUI,Agronomia,Bacharelado,Forragicultura,50
BAMBUI,Agronomia,Bacharelado,Fruticultura I,50
BAMBUI,Agronomia,Bacharelado,Fundamentos de Economia,50
BAMBUI,Agronomia,Bacharelado,Fundamentos de Matematica,50
BAMBUI,Agronomia,Bacharelado,Genese e Morfologia do Solo,50
BAMBUI,Agronomia,Bacharelado,Genetica,50
BAMBUI,Agronomia,Bacharelado,Hidraulica,50
BAMBUI,Agronomia,Bacharelado,Histologia e Anatomia de Angiospermas,50
BAMBUI,Agronomia,Bacharelado,Histologia e Anatomia de Angiospermas,50
BAMBUI,Agronomia,Bacharelado,Informatica Basica,50
BAMBUI,Agronomia,Bacharelado,Manejo de Irrigacao,50
BAMBUI,Agronomia,Bacharelado,Maquinas e Mecanizacao Agricola,50
BAMBUI,Agronomia,Bacharelado,Metodologia Cientifica,50
BAMBUI,Agronomia,Bacharelado,Nutricao Mineral de Plantas,50
BAMBUI,Agronomia,Bacharelado,Olericultura II,50
BAMBUI,Agronomia,Bacharelado,Olericultura II,50
BAMBUI,Agronomia,Bacharelado,Orientacao de TCC,50
BAMBUI,Agronomia,Bacharelado,Planimetria,50
BAMBUI,Agronomia,Bacharelado,Planimetria,50
BAMBUI,Agronomia,Bacharelado,Pos Colheita e Qualidade do Cafe,50
BAMBUI,Agronomia,Bacharelado,Quimica Geral,50
BAMBUI,Agronomia,Bacharelado,Quimica Organica,50
BAMBUI,Agronomia,Bacharelado,Receituario Agronomico e Superior de Superior de Tecnologia de Aplicacao de Defensivos,50
BAMBUI,Agronomia,Bacharelado,Sementes I,50
BAMBUI,Agronomia,Bacharelado,Sementes I,50
BAMBUI,Agronomia,Bacharelado,Silvicultura I,50
BAMBUI,Agronomia,Bacharelado,Sociologia e Extensao Rural,50
BAMBUI,Agronomia,Bacharelado,Zootecnia I (Aves e Suinos),50
BAMBUI,Ciencias Biologicas,Licenciatura,Anatomia e Morfologia Vegetal,50
BAMBUI,Ciencias Biologicas,Licenciatura,Anatomia e Morfologia Vegetal,50
BAMBUI,Ciencias Biologicas,Licenciatura,Anatomia Humana,50
BAMBUI,Ciencias Biologicas,Licenciatura,Anatomia Humana,50
BAMBUI,Ciencias Biologicas,Licenciatura,Biologia da Conservacao,50
BAMBUI,Ciencias Biologicas,Licenciatura,Biologia Molecular,50
BAMBUI,Ciencias Biologicas,Licenciatura,Bioquimica,50
BAMBUI,Ciencias Biologicas,Licenciatura,Citologia,50
BAMBUI,Ciencias Biologicas,Licenciatura,Citologia,50
BAMBUI,Ciencias Biologicas,Licenciatura,Curriculo e Avaliacao em Educacao,50
BAMBUI,Ciencias Biologicas,Licenciatura,Educacao e Realidade Brasileira,50
BAMBUI,Ciencias Biologicas,Licenciatura,Educacao Inclusiva para a Diversidade,50
BAMBUI,Ciencias Biologicas,Licenciatura,Embriologia,50
BAMBUI,Ciencias Biologicas,Licenciatura,Embriologia,50
BAMBUI,Ciencias Biologicas,Licenciatura,Evolucao,50
BAMBUI,Ciencias Biologicas,Licenciatura,Fisica Geral,50
BAMBUI,Ciencias Biologicas,Licenciatura,Fundamentos de Matematica,50
BAMBUI,Ciencias Biologicas,Licenciatura,Fundamentos Filosoficos da Educacao,50
BAMBUI,Ciencias Biologicas,Licenciatura,Geologia,50
BAMBUI,Ciencias Biologicas,Licenciatura,Gestao e Legislacao Ambiental,50
BAMBUI,Ciencias Biologicas,Licenciatura,Introducao a Fisiologia Vegetal,50
BAMBUI,Ciencias Biologicas,Licenciatura,Introducao a Fisiologia Vegetal,50
BAMBUI,Ciencias Biologicas,Licenciatura,Introducao as Ciencias Biologicas,50
BAMBUI,Ciencias Biologicas,Licenciatura,Metodologia Cientifica,50
BAMBUI,Ciencias Biologicas,Licenciatura,Novas Superior de Superior de Tecnologias Aplicadas ao Ensino,50
BAMBUI,Ciencias Biologicas,Licenciatura,Orientacao ao TCC I,50
BAMBUI,Ciencias Biologicas,Licenciatura,Orientacao de Estagio - Biologia,50
BAMBUI,Ciencias Biologicas,Licenciatura,Parasitologia,50
BAMBUI,Ciencias Biologicas,Licenciatura,Pratica II: Ensino Medio,50
BAMBUI,Ciencias Biologicas,Licenciatura,Psicologia da Educacao,50
BAMBUI,Ciencias Biologicas,Licenciatura,Quimica Geral,50
BAMBUI,Ciencias Biologicas,Licenciatura,Zoologia de Invertebrados I,50
BAMBUI,Ciencias Biologicas,Licenciatura,Zoologia de Invertebrados I,50
BAMBUI,Educacao Fisica,Licenciatura,Anatomia Humana,50
BAMBUI,Educacao Fisica,Licenciatura,Anatomia Humana,50
BAMBUI,Educacao Fisica,Licenciatura,Atletismo I,50
