campus,nome-do-curso,forma-de-oferta,disciplina,carga-horaria
ARCOS,Mecanica,Tecnico Integrado,"Administracao, Financas e Empreendedorismo",60
ARCOS,Mecanica,Tecnico Integrado,Artes,50
ARCOS,Mecanica,Tecnico Integrado,Automacao Industrial,60
ARCOS,Mecanica,Tecnico Integrado,Biologia I,60
ARCOS,Mecanica,Tecnico Integrado,Biologia I,60
ARCOS,Mecanica,Tecnico Integrado,Biologia II,60
ARCOS,Mecanica,Tecnico Integrado,Biologia II,60
ARCOS,Mecanica,Tecnico Integrado,Biologia III,60
ARCOS,Mecanica,Tecnico Integrado,Ciencia dos Materiais e Tratamento Termico,60
ARCOS,Mecanica,Tecnico Integrado,Ciencia dos Materiais e Tratamento Termico,60
ARCOS,Mecanica,Tecnico Integrado,Computacao Aplicada I,60
ARCOS,Mecanica,Tecnico Integrado,Computacao Aplicada I,60
ARCOS,Mecanica,Tecnico Integrado,Computacao Aplicada I,60
ARCOS,Mecanica,Tecnico Integrado,Computacao Aplicada I,60
ARCOS,Mecanica,Tecnico Integrado,Desenho Tecnico,60
ARCOS,Mecanica,Tecnico Integrado,Desenho Tecnico,60
ARCOS,Mecanica,Tecnico Integrado,Desenho Tecnico,60
ARCOS,Mecanica,Tecnico Integrado,Desenho Tecnico,60
ARCOS,Mecanica,Tecnico Integrado,Educacao Fisica I,60
ARCOS,Mecanica,Tecnico Integrado,Educacao Fisica I,60
ARCOS,Mecanica,Tecnico Integrado,Educacao Fisica I,60
ARCOS,Mecanica,Tecnico Integrado,Educacao Fisica I,60
ARCOS,Mecanica,Tecnico Integrado,Educacao Fisica II,60
ARCOS,Mecanica,Tecnico Integrado,Educacao Fisica II,60
ARCOS,Mecanica,Tecnico Integrado,Educacao Fisica III,60
ARCOS,Mecanica,Tecnico Integrado,Eletricidade Basica I,60
ARCOS,Mecanica,Tecnico Integrado,Eletricidade Basica I,60
ARCOS,Mecanica,Tecnico Integrado,Eletricidade Basica II,60
ARCOS,Mecanica,Tecnico Integrado,Eletrotecnica Industrial e Predial,60
ARCOS,Mecanica,Tecnico Integrado,Eletrotecnica Industrial e Predial,60
ARCOS,Mecanica,Tecnico Integrado,Ensaios Mecanicos,60
ARCOS,Mecanica,Tecnico Integrado,Ensaios Mecanicos,60
ARCOS,Mecanica,Tecnico Integrado,Estudos Filosoficos e Sociologicos I,60
ARCOS,Mecanica,Tecnico Integrado,Estudos Filosoficos e Sociologicos I,60
ARCOS,Mecanica,Tecnico Integrado,Estudos Filosoficos e Sociologicos II,60
ARCOS,Mecanica,Tecnico Integrado,Estudos Filosoficos e Sociologicos II,60
ARCOS,Mecanica,Tecnico Integrado,Fenomenos de Transporte,60
ARCOS,Mecanica,Tecnico Integrado,Fenomenos de Transporte,60
ARCOS,Mecanica,Tecnico Integrado,Fenomenos de Transporte,60
ARCOS,Mecanica,Tecnico Integrado,Fisica I,60
ARCOS,Mecanica,Tecnico Integrado,Fisica I,60
ARCOS,Mecanica,Tecnico Integrado,Fisica I,60
ARCOS,Mecanica,Tecnico Integrado,Fisica II,30
ARCOS,Mecanica,Tecnico Integrado,Fisica II,30
ARCOS,Mecanica,Tecnico Integrado,Fisica II,30
ARCOS,Mecanica,Tecnico Integrado,Fisica III,30
ARCOS,Mecanica,Tecnico Integrado,Geografia Fisica e Geopolitica I,60
ARCOS,Mecanica,Tecnico Integrado,Geografia Fisica e Geopolitica I,60
ARCOS,Mecanica,Tecnico Integrado,Geografia Fisica e Geopolitica II,60
ARCOS,Mecanica,Tecnico Integrado,Geografia Fisica e Geopolitica II,60
ARCOS,Mecanica,Tecnico Integrado,Geografia Fisica e Geopolitica III,60
ARCOS,Mecanica,Tecnico Integrado,Historia I,60
ARCOS,Mecanica,Tecnico Integrado,Historia I,60
