campus,nivel-de-ensino,curso,matriculas-iniciais,modalidade-de-oferta
Arcos,Tecnico Integrado,Tecnico em Mecanica,58,Presencial
Arcos,Graduacao,Engenharia Mecanica,73,Presencial
Betim,Tecnico Integrado,Tecnico em Mecanica,62,Presencial
Betim,Tecnico Integrado,Automacao Industrial,62,Presencial
Betim,Tecnico Integrado,Quimica,66,Presencial
Betim,Graduacao,Engenharia de Controle e Automacao,32,Presencial
Betim,Graduacao,Engenharia Mecanica,34,Presencial
Congonhas,Tecnico Integrado,Edificacoes,35,Presencial
Congonhas,Tecnico Integrado,Mecanica,29,Presencial
Congonhas,Tecnico Integrado,Mineracao,35,Presencial
Congonhas,Tecnico Subsequente,Edificacoes,31,Presencial
Congonhas,Tecnico Subsequente,Mecanica,25,Presencial
Congonhas,Tecnico Subsequente,Mineracao,34,Presencial
Congonhas,Graduacao,Engenharia Mecanica,4,Presencial
Congonhas,Graduacao,Engenharia de Producao,41,Presencial
Congonhas,Licenciatura,Fisica,16,Presencial
Congonhas,Licenciatura,Letras,28,Presencial
Ibirite,Tecnico Integrado,Automacao Industrial,82,Presencial
Ibirite,Tecnico Integrado,Mecatronica,41,Presencial
Ibirite,Tecnico Integrado,Sistemas de Energias Renovaveis,40,Presencial
Ibirite,Graduacao,Engenharia de Controle e Automacao,42,Presencial
Ipatinga,Tecnico Integrado,Automacao Industrial,41,Presencial
Ipatinga,Tecnico Integrado,Eletrotecnica,40,Presencial
Ipatinga,Graduacao,Engenharia Eletrica,42,Presencial
Piumhi,Tecnico Integrado,Edificacoes,83,Presencial
Piumhi,Bacharelado,Engenharia Civil,29,Presencial
Ouro Preto,Tecnico Integrado,Administracao,48,Presencial
Ouro Preto,Tecnico Integrado,Automacao Industrial,72,Presencial
Ouro Preto,Tecnico Integrado,Edficacoes,80,Presencial
Ouro Preto,Tecnico Integrado,Metalurgia,79,Presencial
Ouro Preto,Tecnico Integrado,Mineracao,79,Presencial
Ouro Preto,Tecnico Subsequente,Edificacoes,16,Presencial
Ouro Preto,Tecnico Subsequente,Joalheria,13,Presencial
Ouro Preto,Tecnico Subsequente,Meio Ambiente,25,Presencial
Ouro Preto,Tecnico Subsequente,Metalurgia,5,Presencial
Ouro Preto,Tecnico Subsequente,Mineracao,31,Presencial
Ouro Preto,Tecnico Subsequente,Seguranca do Trabalho,31,Presencial
Ouro Preto,Licenciatura,Fisica,5,Presencial
Ouro Preto,Licenciatura,Geografia,26,Presencial
Ouro Preto,Tecnologia,Conservacao e Restauro,25,Presencial
