numero-da-portaria,data-de-publicacao,descricao-sobre-o-assunto-de-que-trata-a-portaria
1,2023-01-02 00:00:00,Dispõe sobre Licença para Capacitação de servidora do IFMG – Campus Formiga.
2,2023-01-02 00:00:00,Dispõe sobre Interrupção de Férias do servidor do IFMG - Campus Avançado Itabirito.
3,2023-01-03 00:00:00,Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no país de servidor do IFMG - Campus Bambuí.
4,2023-01-03 00:00:00,"Dispõe sobre exercício da servidora Gleida Pêgo de Miranda, campus Bambuí, no SIASS Centro Oeste de Minas."
5,2023-01-03 00:00:00,Dispõe sobre instituição de Comissão no IFMG
6,2023-01-03 00:00:00,"Dispõe sobre nomeação de Professor do Ensino Básico, Técnico e Tecnológico para o IFMG – Campus Avançado de Arcos."
7,2023-01-03 00:00:00,Dispõe sobre Interrupção de Férias do servidor do IFMG - Campus Avançado Itabirito.
8,2023-01-03 00:00:00,Dispõe sobre remoção de servidor Professor EBTT- IFMG Campus São João Evangelista para o IFMG Campus Governador Valadares.
9,2023-01-04 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidor do IFMG - Campus Sabará.
10,2023-01-04 00:00:00,"Dispõe sobre a publicação da relação de concluintes que obtiveram o Certificado de Conclusão do Ensino Médio expedido eletronicamente pelo Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - IFMG com base nos resultados de desempenho obtidos no Exame Nacional para Certificação de Competências de Jovens e Adultos - Encceja."
11,2023-01-05 00:00:00,Dispõe sobre Afastamento para Participação em Ação de Desenvolvimento em Serviço de servidor do IFMG - Campus Ouro Preto.
12,2023-01-05 00:00:00,Dispõe sobre designação de servidor como avaliador institucional do IFMG.
13,2023-01-05 00:00:00,Dispõe sobre interrupção de férias de servidora do IFMG - Campus Avançado Ponte Nova.
14,2023-01-06 00:00:00,Dispõe sobre o horário de funcionamento e atendimento da Reitoria do IFMG.
15,2023-01-09 00:00:00,Dispõe sobre Licença para Capacitação de servidora do IFMG – Campus Santa Luzia.
16,2023-01-09 00:00:00,Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG por Servidores indicados pelo Diretor Geral dos Campi.
17,2023-01-09 00:00:00,Dispõe sobre a publicação da relação com o nome e o número do CPF dos concluintes certificados no Ensino Médio pelos campi do IFMG com base nos resultados do Exame Nacional para Certificação de Competências de Jovens e Adultos​ - Encceja.
18,2023-01-09 00:00:00,Dispõe sobre averbação de tempo de contribuição de servidora do IFMG - Campus Sabará e Tornar sem efeitos a Portaria 984 de 25/08/2016.
19,2023-01-09 00:00:00,Dispõe sobre alteração da Comissão Avaliadora dos Afastamentos e Licenças para Capacitação de Técnico-Administrativos da Reitoria do IFMG e Revogação da Portaria nº 761 de 15 de julho de 2022.
20,2023-01-09 00:00:00,Dispõe sobre retificação da Portaria IFMG nº 1111 de 13 de outubro de 2022.
21,2023-01-10 00:00:00,Dispõe sobre a indicação de membro substituto para compor a Presidência da Comissão Recursal do Processo de Heteroidentificação Racial/IFMG.
22,2023-01-10 00:00:00,Dispõe sobre Retificação da Portaria nº 784 de 21 de julho de 2022 que dispõe sobre Dispõe sobre Licença para Capacitação de servidora do IFMG – Campus Santa Luzia.
23,2023-01-11 00:00:00,Dispõe sobre Concessão de horário especial à Servidor do IFMG – Reitoria.
24,2023-01-12 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Betim.
25,2023-01-12 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidor do IFMG - Campus Avançado Itabirito.
26,2023-01-13 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato IFMG nº 121/2022.
27,2023-01-16 00:00:00,"Dispõe sobre Vacância por posse em cargo inacumulável de Servidor do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Campus Governador Valadares."
28,2023-01-16 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato IFMG 124/2022.
29,2023-01-16 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional a servidor Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
30,2023-01-16 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional a servidor Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
31,2023-01-16 00:00:00,Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG por Servidores indicados pelo Diretor Geral do Campus.
32,2023-01-16 00:00:00,"Dispõe sobre Progressão por Capacitação Profissional a servidores Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
33,2023-01-16 00:00:00,"Dispõe sobre Progressão por Capacitação Profissional a servidores Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
34,2023-01-16 00:00:00,Dispõe sobre interrupção de férias de servidora do IFMG - Reitoria.
35,2023-01-16 00:00:00,Dispõe sobre interrupção de férias de servidora do IFMG - Reitoria.
36,2023-01-16 00:00:00,Dispõe sobre Interrupção do Afastamento para Participação em Ação de Desenvolvimento em Serviço de servidor do IFMG – Campus Sabará.
37,2023-01-16 00:00:00,"Dispõe sobre Prorrogação de Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Avançado Piumhi."
38,2023-01-17 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
39,2023-01-17 00:00:00,Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG por Servidores indicados pelo Diretor Geral do Campus.
40,2023-01-17 00:00:00,Dispõe sobre a instituição da Comissão Local do Processo de Heteroidentificação do IFMG por Servidores indicados pelo Diretor Geral do Campus.
41,2023-01-18 00:00:00,Dispõe sobre autorização de funcionamento da jornada flexibilizada dos servidores Técnico-Administrativo em Educação do IFMG - Campus Sabará e Revogação da Portaria nº 975 de 09 de setembro de 2022.
